strategy,tau_min,k,bin_type,bin,n,mean_ic_dAUC,t_p,wilcoxon_p
hubs,30,5,size,small,1829,-1.889245489338437,0.28139977398071603,0.931772453356968
hubs,30,5,size,medium,1931,1.3426903158984975,0.7065222345316686,0.3338170865500081
hubs,30,5,size,large,1603,-35.26808172177168,0.0020296880479104187,1.229093390074731e-09
hubs,30,10,size,small,1829,-1.271109896118095,0.44542690463808443,0.7967299089107099
hubs,30,10,size,medium,1931,-2.2203547384774724,0.6043732828875876,0.4687200422483886
hubs,30,10,size,large,1603,-40.545218340611356,0.00010529937388731952,1.8117608230067226e-10
hubs,60,1,size,small,1829,-0.44939857845817527,0.7939465586843534,0.5044834952050505
hubs,60,1,size,medium,1931,2.6063153806317954,0.5608101869377776,0.4261585270463675
hubs,60,1,size,large,1603,-7.6263537117904034,0.383475001731305,0.03823214309703624
hubs,60,3,size,small,1829,-1.0743302351011472,0.5503898688026074,0.42044579264501114
hubs,60,3,size,medium,1931,-5.998329880890729,0.21162484569682438,0.6209766168649382
hubs,60,3,size,large,1603,-18.741119775421105,0.04321511598277636,0.00031217279350005656
hubs,60,5,size,small,1829,-2.5751995626025144,0.10949537261908782,0.7305290299244751
hubs,60,5,size,medium,1931,-0.6207017089590864,0.867517570712057,0.9497471755420789
hubs,60,5,size,large,1603,-16.49816281971305,0.1269189333217653,0.0014642849598745216
hubs,60,10,size,small,1829,-1.722033898305085,0.32019868696234594,0.24863036081110734
hubs,60,10,size,medium,1931,-0.8078223718280729,0.8337670179730745,0.945513665896452
hubs,60,10,size,large,1603,-30.921862133499694,0.009695256620671834,0.006665277628068136
random,0,1,size,small,1829,-18.405691634773103,2.2938521701518057e-16,3.5632202014096976e-76
random,0,1,size,medium,1931,-30.977755049197306,1.8438303161632402e-09,2.448152761330281e-55
random,0,1,size,large,1603,-72.97866812227075,9.73958096012279e-09,4.6492250932111414e-37
random,0,3,size,small,1829,-36.182941498086386,3.9477864733177195e-38,1.848319775761254e-257
random,0,3,size,medium,1931,-65.37494821336095,1.5176884714277018e-25,3.73295217008163e-201
random,0,3,size,large,1603,-163.56855583281347,6.2970022340420594e-27,3.307995640208352e-137
random,0,5,size,small,1829,-35.895401858939316,2.5235201921574847e-40,1.9539165828116555e-254
random,0,5,size,medium,1931,-62.207723977213874,2.153095890262596e-27,5.712691207201012e-199
random,0,5,size,large,1603,-147.57314098565192,9.033570228745854e-32,7.851294335260216e-137
random,0,10,size,small,1829,-36.44220338983051,1.8777856195430693e-41,1.0560747223989609e-259
random,0,10,size,medium,1931,-62.76178404971518,3.67468856444278e-23,5.329809439164495e-193
random,0,10,size,large,1603,-151.86564878353087,2.0241902867215882e-26,1.5958633254890415e-144
random,15,1,size,small,1829,-1.0851448879168946,0.4913783877285891,0.7078219362307842
random,15,1,size,medium,1931,-1.0577705851890167,0.803207946769555,0.74810356218676
random,15,1,size,large,1603,0.4779819089207616,0.9574806107857787,0.16894957632795093
random,15,3,size,small,1829,-2.105910333515583,0.14378824004689253,0.6047276493847333
random,15,3,size,medium,1931,2.8889098912480575,0.5183729815309712,0.8509695878140207
random,15,3,size,large,1603,-20.746066749844047,0.07987932479747918,0.0009021881093143703
random,15,5,size,small,1829,-2.4301913613996713,0.1333469112531893,0.35433391510979617
random,15,5,size,medium,1931,-4.727004142931124,0.19158864674903753,0.24776607288537478
random,15,5,size,large,1603,-35.223041172801004,0.002309225719712497,1.4871843850137479e-07
random,15,10,size,small,1829,-0.5252487698195722,0.7715383703674935,0.4422884612095037
random,15,10,size,medium,1931,-1.66274728120145,0.692994978428543,0.40598517953591406
random,15,10,size,large,1603,-46.34964129756708,5.868284772412463e-05,9.698661230892212e-12
random,30,1,size,small,1829,0.9361673045379989,0.5808692348933857,0.13960383681654503
random,30,1,size,medium,1931,2.43516571724495,0.5838467637081486,0.20411536857110546
random,30,1,size,large,1603,4.151531503431051,0.662557913863266,0.8862974722810533
random,30,3,size,small,1829,0.01838709677419479,0.9912057869885234,0.11426494619252178
random,30,3,size,medium,1931,4.104482133609529,0.3143065977697289,0.1482682503597666
random,30,3,size,large,1603,-6.955704928259518,0.513081188884184,0.013548590179424074
random,30,5,size,small,1829,0.2056533624931667,0.9103073645842994,0.42426517133762176
random,30,5,size,medium,1931,1.076900569653028,0.8253704610611319,0.9238714614847148
random,30,5,size,large,1603,-26.004613225202753,0.012495349526647086,7.052383393034987e-05
random,30,10,size,small,1829,0.06873701476216516,0.9659675448002052,0.12248234098329704
random,30,10,size,medium,1931,-7.448086483687207,0.10634273413054353,0.670332396720484
random,30,10,size,large,1603,-45.502953836556465,1.3812851605534886e-05,1.5418093786447893e-08
random,60,1,size,small,1829,-1.0746200109349373,0.5279152048381454,0.5355235539452902
random,60,1,size,medium,1931,-0.990670636975662,0.7908976055907442,0.9196660195236634
random,60,1,size,large,1603,7.02237367436057,0.4868125892360996,0.547195295960563
random,60,3,size,small,1829,-0.8055440131219231,0.6657218146923123,0.07638491307421418
random,60,3,size,medium,1931,-2.761343863283277,0.4687182594803213,0.5638241219777753
random,60,3,size,large,1603,-9.886466001247666,0.3248170012163508,0.20421044150597456
random,60,5,size,small,1829,-2.1801804264625475,0.23320846532131317,0.8366481005296778
random,60,5,size,medium,1931,-1.040556706369755,0.8070087357909618,0.8815874252053831
random,60,5,size,large,1603,-16.522111665626955,0.12881253489176056,0.005096539641429767
random,60,10,size,small,1829,-0.538102788408967,0.7707219409237777,0.19222140362750462
random,60,10,size,medium,1931,-0.30299585706887905,0.9507107995174291,0.26588481988173407
random,60,10,size,large,1603,-24.27840611353713,0.018902102408051392,0.0003712489181436972
bridges,0,1,duration,short,1788,-0.9036325503355704,2.015553930022783e-22,4.595815470595541e-32
bridges,0,1,duration,medium,1787,-5.9537576944599895,6.880370470190871e-29,1.3293982575975941e-33
